,shot,dda,t1,t2,Te ped height (keV),error,ne ped height 10^19(m^-3),error.1,pe ped height (kPa),error.2,Te psiN=0.9 pre-ELM (keV),error.3,ne psiN=0.9 pre-ELM 10^19(m^-3),error.4,pe psiN=0.9 pre-ELM (kPa),error.5,Te pedestal width (psiN %),error.6,Ne pedestal width (psiN %),error.7,pe pedestal width (psiN %),error.8,Te pedestal width Rmid (cm),error.9,Ne pedestal width Rmid (cm),error.10,pe pedestal width Rmid (cm),error.11,ne separatrix from exp data 10^19(m^-3),error.12,ne separatrix from fit 10^19(m^-3),error.13,ne position (psiN),error.14,Te position (psiN),error.15,pe position (psiN),error.16,ne position Rmid (m),error.17,Te position Rmid (m),error.18,pe position Rmid (m),error.19,separatrix position Rmid (m),error.20,ne inner slope,error.21,Te inner slope,error.22,pe inner slope,error.23,beta_pol ped (electrons),error.24,nu* pedestal,error.25,rho* pedestal,error.26,Zeff,error.27,BetaN (dia),error.28,BetaN (MHD),error.29,Ip (MA),error.30,B (T),error.31,R (m),error.32,a (m),error.33,average triangularity,error.34,Meff,error.35,P_NBI (MW),error.36,P_ICRH (MW),error.37,P_TOT=PNBI+Pohm+PICRH-Pshi (MW),error.38,plasma volume (m^3),error.39,q95,error.40,gas flow rate of main species 10^22  (e/s),error.41,H/(H+D),error.42,electron rate from GIM  1 (e/s),error.43,electron rate from GIM  2 (e/s),error.44,electron rate from GIM  3 (e/s),error.45,electron rate from GIM  4 (e/s),error.46,electron rate from GIM  5 (e/s),error.47,electron rate from GIM  6 (e/s),error.48,electron rate from GIM  7 (e/s),error.49,electron rate from GIM  8 (e/s),error.50,electron rate from GIM  9 (e/s),error.51,electron rate from GIM 10 (e/s),error.52,electron rate from GIM 11 (e/s),error.53,electron rate from GIM 12 (e/s),error.54,electron rate from GIM 13 (e/s),error.55,electron rate from GIM 14 (e/s),error.56,electron rate from GIM 15 (e/s),error.57,sub-divertor pressure from bar1 (10!u-6!n bar),error.58,Atomic number of seeded impurity,error.59,flow rate of seeded impurity 10^22 (e/s),error.60,FLAG: DEUTERIUM,FLAG: HYDROGEN,FLAG: H/D mix,FLAG: He JET-C,FLAG: Seeding,FLAG: Kicks,FLAG: RMP,FLAG: pellets,FLAG: HRTS data validated,divertor configuration
326,79565,T001/pbohm,55.5494003296,61.9850006104,0.8405002951999999,0.0179368258,3.8484029769999997,0.037092063599999996,5.1326789856,0.1201880425,1.0167807341,0.021698765499999998,4.004830360400001,0.0385997593,7.338476657899999,0.1718395352,0.0316841602,0.0039135967,0.034826163199999996,0.003259667,0.027137940699999998,0.0036015045,1.5754342078999999,0.19459609690000002,1.7324625254,0.16215541960000002,1.3786276578999999,0.2918253839,1.252951622,0.25483766199999996,1.2061537504000002,0.2918253839,0.9928302169,0.0004948486,0.9837012291,0.0008046272999999999,0.9810919762,0.0009871348,3.8564593792000004,0.001921409,3.8519210814999996,0.0031491776,3.8506245613,0.0038766953999999996,3.8600270748,0.0,0.015240056399999998,0.0018784839000000001,0.0791836008,0.0053353021,0.09070451560000001,0.012741595500000001,0.1564460546,0.0036633783000000002,0.3301188946,0.0172716901,4.75237e-05,5.071e-07,2.0888431071999998,0.06963431839999999,1.589199543,0.059000939100000004,1.5606838465000001,0.0750879869,1.9803674221,0.005239611,2.1898009777,0.008949737099999999,2.9034211636,0.004155840300000001,0.9542862773,0.0029252707,0.26933863760000004,0.0032354803000000003,1.9836894274,0.0018780601999999998,7.781562328300001,0.36518973109999997,0.9604874253,0.1383773685,9.09375,0.2799691856,80.6012954712,0.2330654711,3.7098286151999997,0.018731948000000002,0.0,0.0,0.0162086058,0.0062452313,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,V/H
327,79566,T001/pbohm,55.263301849399994,59.9297981262,0.8978181481,0.0167837758,3.9800736904000003,0.0243134834,5.671954155,0.1115489751,1.0592795609999999,0.0198021289,4.142762661,0.0253073201,7.8234677315,0.1538622826,0.0392220728,0.0041834214,0.0381567217,0.0029133782,0.0321485661,0.0036047737,1.9111769199000002,0.2038458884,1.8599011898,0.1420089453,1.3866091966999998,0.24089370670000002,1.1277676821,0.19370679559999998,0.9252039790000001,0.24089370670000002,0.9887794851999999,0.0003806185,0.9790522456,0.0008410895,0.9760586023000001,0.0009629131,3.8573544025,0.0014850048000000001,3.852615118,0.0033072865999999998,3.8511574268,0.003803232,3.86282444,0.0,0.0175827239,0.0011259197,0.08831002560000001,0.0052477065,0.1002255976,0.0087556848,0.1674280018,0.0032927665999999997,0.3040240407,0.0132240485,4.9385900000000004e-05,4.6159999999999995e-07,2.177447319,0.0963025764,1.6624821424,0.0365482196,1.6628962755,0.0439727642,1.9819395541999998,0.0043195523,2.1913061141999997,0.01348917,2.9044914245999998,0.0042964666999999995,0.953841567,0.0030169867,0.2715951204,0.0035650351000000003,1.9771165847999999,0.0021330409,7.8726000786000006,0.18729183079999998,0.9595179558,0.1281395853,9.1670742035,0.241388157,80.6293334961,0.2589077652,3.7235720158,0.027091590699999998,0.0,0.0,0.0229450725,0.0055685979000000005,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,V/H
328,79567,T001/pbohm,55.079299926800005,58.8930015564,0.868540585,0.0150603596,3.9051415919999997,0.027160203100000002,5.3613648414999995,0.10016459970000001,1.0410875082,0.0180522949,4.0931739807,0.0284679662,7.6158051491,0.14228355880000002,0.0392494388,0.0043354928,0.0356633291,0.0027026699,0.031522363399999996,0.0036125425,1.9552229643,0.21597394350000002,1.7773400545,0.1346919537,1.4699014425,0.2495910525,1.2997416258,0.20408137140000002,0.9689993262000001,0.2495910525,0.9897347093000001,0.0004046383,0.9794653654000001,0.0007559791000000001,0.9772639871,0.0008911841000000001,3.8571000099,0.0015762089999999999,3.8519837856,0.0029699183000000003,3.8508882523000003,0.0035147117,3.8622174263,0.0,0.019116584199999998,0.0012568707,0.09732603279999999,0.0052467375,0.1110831127,0.009444626999999999,0.1614258289,0.0030158651,0.3201568425,0.013329627,4.8906700000000004e-05,4.24e-07,2.1530807018,0.11370924119999999,1.6620188951,0.036497511,1.6625417471000001,0.0427012704,1.9826802015,0.005648454200000001,2.1932954788,0.0190120917,2.9035203457,0.0041298475,0.9548465014,0.0030114593,0.2714362741,0.0035068978999999996,1.9795937538,0.0023575032,7.8408565521,0.18969473239999998,0.9345778227,0.0759219825,9.0883350372,0.2747600973,80.6630249023,0.2768517435,3.7274546623,0.0373482779,0.0,0.0,0.0203492679,0.0057473946,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,V/H
329,79568,T001/pbohm,55.258098602299995,61.817401886000006,0.8822442293000001,0.0137590077,3.7810263633999996,0.030480483500000002,5.3026823997,0.09309268,1.0534859896,0.0164296012,3.9283993244,0.0316685215,7.4450302124,0.1307032406,0.036057941600000004,0.0034298326,0.0381629989,0.0024101820000000003,0.030335783999999998,0.0029641804,1.8170464038999998,0.1728375107,1.9236732721,0.12148948009999999,1.4386376143000001,0.22231560949999998,1.075271368,0.16913415489999997,0.9595578909,0.22231560949999998,0.9893678427,0.0004790055,0.981569767,0.0006822075,0.9780242443000001,0.0008710641,3.8510251044999997,0.0018637342000000002,3.8470954895,0.0026724003000000002,3.8453102112,0.0034277171000000003,3.8563849926,0.0,0.016618523700000002,0.0015296823000000002,0.0853785276,0.0042432607,0.0968431458,0.010130480899999999,0.1570584625,0.0027572825,0.2950694561,0.0115821706,4.85496e-05,3.786e-07,2.1030583382,0.062739566,1.5833016634000001,0.046488095099999995,1.5834391117,0.0662507564,1.9800499678,0.0049785891999999995,2.1912717819,0.011319356000000001,2.9041764736,0.0045971321,0.9532741904,0.0031870259000000003,0.2701481879,0.0034735897,1.9825373888,0.0029220767,7.8530306816,0.18907830120000002,0.4551735222,0.0399231985,8.651000976599999,0.2975812256,80.55809783939999,0.2873308659,3.7132174969,0.025509267999999998,0.0,0.0,0.017471442,0.0095291929,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,V/H
330,79569,T001/pbohm,56.072700500500005,59.8905982971,0.8818288445,0.0184043497,3.960745573,0.0278996173,5.5329890251,0.1218769178,1.0742878914,0.022421097400000003,4.1391911507,0.029156591699999998,7.957343101499999,0.17527893190000002,0.0318215899,0.0047563291,0.0348119363,0.0035759432,0.0270273332,0.0042077336,1.6177372932,0.2418009639,1.7705657482,0.1818756312,1.3850718737,0.30159136649999996,1.2038341761,0.16960749030000002,1.149310112,0.30159136649999996,0.9922062755,0.00040004190000000005,0.9836962819,0.0008312425,0.9808598161,0.0009595334,3.8545899391000003,0.0015540197,3.8502657413,0.0032518958,3.848824501,0.0037675197,3.8585567474,0.0,0.017021602,0.0012388658999999999,0.0825410038,0.0057952162,0.0958880261,0.0096968738,0.16905891899999997,0.0037239147,0.3098962009,0.015118395,4.8553699999999996e-05,5.067000000000001e-07,2.2885038853,0.058327246500000006,1.6812126637,0.0364917479,1.6584854126,0.048349339500000005,1.9796173573,0.0046758433,2.1883013248,0.0109275244,2.9047679901,0.0036590971999999997,0.9532786012000001,0.0020829348,0.2717068195,0.0036767283000000003,1.976883173,0.0024536587,7.8225550651999995,0.010176734100000001,1.4080353975,0.1770010293,9.6006860733,0.2694673836,80.55545806880001,0.23505373300000001,3.7156379223,0.0198066328,0.0,0.0,0.023090640099999997,0.007263879799999999,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,V/H
331,79569,T002/pbohm,60.1596984863,62.2055015564,0.9566469193000001,0.025853665499999998,3.7682316303,0.0387738161,5.7372713089,0.16590972240000001,1.1287052631,0.0305035915,3.8949599266000003,0.0400778092,7.8408684731,0.22674129899999998,0.032131973700000004,0.006558103000000001,0.0329647623,0.0043362929,0.0268587228,0.0055593234,1.5820882319999998,0.32290259,1.6233822107,0.2135450244,1.2900087833,0.37730631229999995,0.7072849273999999,0.152833879,0.8382329345,0.37730631229999995,0.9896789193000001,0.0006172535,0.9823037386,0.0012439518,0.9793533087,0.0014546755999999999,3.8562505245,0.0024049864,3.8526208400999997,0.0048755929,3.8511688708999996,0.0057246974,3.861335516,0.0,0.012324965600000001,0.0016398912,0.0694487691,0.0067741787,0.0764082745,0.012605730400000001,0.1732202321,0.0050091618,0.25321123,0.0162916724,5.11295e-05,6.909e-07,2.2872202396,0.0580909997,1.5664302111000001,0.0614727251,1.506478548,0.0826210231,1.9773601294,0.0052902792,2.1902370453,0.0010332759,2.9075083733,0.0056634931999999995,0.9494667053,0.002292657,0.2693976462,0.0047815205,1.9765805006000001,0.0029906719,6.5504498482,0.0,1.4559508562,0.15882316230000001,8.3334608078,0.23700656,80.396736145,0.2065415978,3.6956369877,0.0162801798,0.0,0.0,0.0237048119,0.0078607509,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,V/H
332,79571,T001/pbohm,56.3446998596,59.3255996704,0.7818076611,0.0205930695,3.8255712986000003,0.0403732583,4.7085199356,0.1336083263,0.9720007181,0.0256028175,4.0245981216,0.0424736962,7.0621829033,0.20039553940000002,0.030022157400000003,0.005308907,0.0271585528,0.0043904710999999996,0.024710454,0.0048713824,1.5307233334,0.2706823349,1.3857525587000001,0.2240217477,1.1905610561,0.4286980629,1.5539579391,0.3162973225,1.4814471006,0.4286980629,0.9971542358,0.0005576373,0.9857675432999999,0.0010203033,0.9843431711,0.0012103171,3.8563728333,0.0021571387,3.8505666256,0.0039840238,3.8498411179,0.0047351755,3.8578248024,0.0,0.0146427425,0.0015425314000000001,0.08516930789999999,0.0069263907999999996,0.0973282829,0.0129527822,0.14865633849999998,0.0042182519,0.38351181149999997,0.024251055,4.57392e-05,6.024e-07,2.015958786,0.049359716500000005,1.6197458506,0.0320072919,1.5846728086000001,0.0397832207,1.9794927835,0.0028411795000000003,2.1852154732,0.0001713745,2.901011467,0.0027264007,0.9564168453,0.0020513982,0.2691688836,0.0022806381,1.9807699919,0.0014636109,7.728769779199999,0.0,1.6578445435,0.15323294699999998,9.7486047745,0.2150990665,80.6515426636,0.20775571469999998,3.7137727737,0.015151458799999998,0.1432804912,0.00020669729999999998,0.0191493034,0.0042254999,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1432804912,0.00020669729999999998,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,V/H
333,79571,T002/pbohm,59.5505981445,62.0124015808,0.8190022111,0.0171353836,4.0091104507,0.034948036099999996,5.2144069672,0.11818774039999999,0.9729601741,0.0203565322,4.1621804237,0.036282371699999996,7.1461129189,0.1619710326,0.0329851061,0.0041526072,0.03395731,0.0032212455,0.0280042123,0.003716219,1.6791216135,0.2113903314,1.7302554846,0.1641348451,1.5714905262,0.3202617168,1.4746114016,0.355292052,1.4377384186000002,0.3202617168,0.9950236678000001,0.0004951633000000001,0.9836427569,0.0008920302,0.9822195768,0.0010613247,3.8547449112,0.0019181439,3.8489511013,0.0034878103,3.8482267857,0.0041626613,3.8572812080000003,0.0,0.0136045795,0.0015125863000000001,0.0732350051,0.0047088847,0.0828952491,0.010646712,0.1593772769,0.0036123842,0.3643479347,0.0184220485,4.689e-05,4.905e-07,2.1531612872999997,0.0604602844,1.5444071293000001,0.0310410056,1.4785226583000002,0.037596233199999995,1.9766529799,0.0029476651,2.1855289936,0.0002521589,2.9037799835,0.0030923369,0.9529000521,0.0016228412,0.2692331374,0.0029487752000000003,1.9799718857,0.0018269789000000002,6.591742515599999,0.7392552495,1.6156802177,0.12189923970000001,8.597494125399999,0.23254475,80.4944381714,0.14118117089999999,3.6971530913999997,0.010420165,0.1425756514,0.0001695361,0.0200468358,0.0044013569,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1425756514,0.0001695361,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,V/H
334,79572,T001/pbohm,55.8964004517,61.9907989502,0.7030268908,0.0123908045,4.5696344375999995,0.0303913448,5.0916585922,0.0959166884,0.8592219949,0.0151437325,4.7227735519,0.031409829900000005,7.3099446297,0.1377047747,0.0396718644,0.0030976735999999998,0.0339597091,0.0026159626,0.0318575427,0.0028669534000000003,2.0051064491,0.1565635055,1.7173743248,0.13229167460000002,1.6300072669999999,0.23685094710000001,1.4865185022,0.2630354166,1.4407641888,0.23685094710000001,0.9935430288,0.0003682997,0.9813420773,0.0007440722999999999,0.9799064398,0.0008670889,3.8577179909,0.0014301713000000001,3.851552248,0.0029164073,3.8508272171,0.0034106418,3.8609833717,0.0,0.012222318000000001,0.0011094766,0.10710787029999999,0.0051757139,0.1100689098,0.011318966699999999,0.1535260379,0.0028921240000000003,0.5539283156,0.023209923900000002,4.34075e-05,3.825e-07,1.9750061035,0.1147456169,1.5305662155000002,0.029191685800000002,1.4760837555000001,0.0416403823,1.9765245913999998,0.0026846777,2.1849873066,0.0001789647,2.8998491764,0.0037561447999999997,0.9569727182,0.0033050142,0.2677920461,0.0038622185,1.9878704548,0.0015520983,6.3355765342999995,0.393080771,1.6021409035,0.1503570676,8.3813686371,0.1702396423,80.6799316406,0.22741551699999998,3.7099068164999998,0.015282755700000001,0.073899515,0.0001673082,0.012116765600000001,0.0042066113,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073899515,0.0001673082,-0.0,0.0,-0.0,0.0,0.0,0.0,-1000.0,1000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,V/H
489,81794,T001/lfrassin,52.8478012085,55.1180992126,0.36435183880000005,0.011046998200000002,6.029991626699999,0.054132554699999995,3.5001199245,0.1106761992,0.5077450275,0.015394621499999999,6.1366128922000005,0.055089715899999996,5.917787551900001,0.1871245056,0.0457838289,0.005656570200000001,0.034141268599999997,0.0037657863000000002,0.0360303149,0.0048050983,2.5150163174,0.3107290566,1.8772499561000002,0.2070609033,2.4712860584,0.40992000700000003,3.3842117786,0.6538382172999999,3.3566834926999998,0.40992000700000003,1.0019848347,0.0006841197,0.987419188,0.0013416352,0.9867566228,0.0015851369,3.8250777720999998,0.0026117524,3.817075491,0.0051739234000000005,3.8167116642,0.006135745,3.8239865302999996,0.0,0.0059306291,0.001421548,0.20097859199999998,0.0152331255,0.1756010652,0.0441450812,0.10584912449999999,0.0033470222,2.277528286,0.15855331720000002,3.37856e-05,5.121999999999999e-07,-1.0,-1.0,1.327337265,0.028983986,1.1559361219,0.031940259,1.970703721,0.0059623611,1.9961446524000002,0.0003332405,2.8849227427999997,0.0026241690000000004,0.9371762872,0.0036824432,0.27605420350000004,0.0030379916999999997,1.9981262684,0.00022749830000000002,9.5027370453,0.2310455143,0.0,0.0,10.1611766815,0.2695566416,76.812461853,0.3397576809,3.240434885,0.0152547359,1.8368637562,0.0319996327,0.0018737316,0.00022749830000000002,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441006452,0.0006914771000000001,0.0,0.0,1.5927630662999999,0.0313081741,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.5032900572,0.45845144990000003,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,V/H
490,81795,T001/lfrassin,53.599201202399996,56.539501190200006,0.3790719807,0.011707850700000001,5.8923325539,0.06577571480000001,3.5345640181999998,0.1160784885,0.5046602488,0.0155867152,6.0042614937,0.0670251697,5.6365084648,0.1851083785,0.0571638308,0.0062916577,0.0377657935,0.0041861418,0.0434426367,0.005343629,3.0760805607,0.33856454490000004,2.0345299244,0.2255170494,2.9324848651999997,0.46522095799999996,2.9088802338,0.6078827381,3.0018727779,0.46522095799999996,1.0,0.0008456407000000001,0.9829980731,0.00145521,0.9836781620999999,0.0017615206,3.8269419669999998,0.0032350670000000003,3.8181574345,0.0056331549,3.8181574345,0.0068486664,3.8269419669999998,0.0,0.0071669822,0.0018858108,0.2214901298,0.015502206999999999,0.1931582391,0.0525920317,0.10348790880000001,0.0033986428999999998,2.0888381004,0.1523474306,3.47309e-05,5.363000000000001e-07,-1.0,-1.0,1.3516525030000002,0.038699462999999996,1.1822685003,0.0355982445,1.9709756374,0.0066245138,1.9973152876,0.00043203720000000004,2.8885009288999997,0.0022019946,0.9338940978,0.0029360219,0.2775520682,0.0028597913,1.9979596138,0.0004342603,9.3810520172,0.7010818123999999,0.0,0.0,10.0300941467,0.2198908329,76.6721343994,0.3002093434,3.2333602905000003,0.015429792900000001,1.6089482307,0.0308174565,0.0020403862,0.0004342603,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2611314952,0.0010313934,0.0,0.0,1.3478186131,0.0297861006,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.7286894321000001,0.2125038207,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,V/H
491,81798,T001/lfrassin,53.5858001709,55.923599243199995,0.3716193438,0.0144831873,5.8111166954,0.0755003691,3.4295332432,0.1408912688,0.5054814219,0.019700218000000002,5.912033081100001,0.07681151480000001,5.600897788999999,0.23009474579999997,0.0595515594,0.0069664344,0.04301853480000001,0.0049211071000000006,0.0462960824,0.0060311067,3.2290422916000003,0.3777383864,2.336009264,0.2672278881,2.9869632720999997,0.5766962767,2.8428773880000002,0.7608436942,3.1436619758999997,0.5766962767,1.0013575554,0.0010544092,0.9830126762000001,0.0018273761,0.9823325871999999,0.0022060566,3.8301715851,0.0040314724,3.8198542595,0.0070763789,3.8194856644,0.008582716800000001,3.8290660381,0.0,0.0073936498,0.0024373622,0.251363337,0.0200140662,0.2201045454,0.074645251,0.1011917591,0.0041571357,2.1306536198,0.19375900920000003,3.43574e-05,6.695e-07,-1.0,-1.0,1.3961056471000002,0.0301231947,1.2222341299,0.0298405886,1.9700852633000001,0.0051107113,1.9976433516,0.0003664865,2.8877327442,0.0024991923,0.934699595,0.0026629705,0.2781559825,0.0026049933,1.9976543188,4.16323e-05,9.4407711029,0.6074479222,0.0,0.0,10.0636920929,0.1634368598,76.72049713130001,0.24162091309999997,3.2412419319,0.0144453421,1.6335659027,0.025005221400000003,0.0023456812,4.16323e-05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26627644899999997,0.0008501721000000001,0.0,0.0,1.3672896624000002,0.0241550636,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.6360293627000002,0.22050940989999998,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,V/H
493,81803,T001/lfrassin,53.5120010376,55.9807014465,0.3855799437,0.0107480735,5.915838718400001,0.051503513,3.6331789494,0.1060997471,0.5395612717,0.015040315700000001,6.0153536797000005,0.052369892599999995,6.232729435,0.18201443550000002,0.044604271699999996,0.0058950758999999995,0.036096435,0.004357270900000001,0.0363916233,0.0051835184,2.381677866,0.3147719204,1.9298362731999998,0.2329543084,2.4672341347,0.5224751234,2.792014122,0.17856137449999998,3.5601751804000004,0.5224751234,1.0034365654000001,0.000703187,0.9876170157999999,0.0011912214999999999,0.986929059,0.0014595060999999998,3.8298382759,0.0026831275,3.8210213183999997,0.0046005612,3.8206539154000003,0.0056549702000000006,3.8280014992,0.0,0.005879043100000001,0.0014073098,0.2000740021,0.0132894358,0.18024043739999998,0.044775683399999995,0.1107198894,0.0032333535999999998,2.0223355293000003,0.1303520799,3.51378e-05,4.896999999999999e-07,-1.0,-1.0,1.4726473093,0.0341234244,1.3302981853,0.034157562999999995,1.9725078344,0.0057725827,1.9983012675999998,0.0004141529,2.888733387,0.0028481239,0.9343003631,0.002909319,0.2804697752,0.0031174584,1.9973818064,0.00017787709999999998,9.5002241135,0.5984027386,0.0,0.0,10.108590126000001,0.20190925899999998,76.7229232788,0.2936945558,3.2458903789999995,0.0146101201,0.9862321615,0.0065671945999999995,0.0026181935999999998,0.00017787709999999998,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39738324280000004,0.0020154847,0.0,0.0,0.5888491272999999,0.0045517096,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.1889203787,0.11697016660000001,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,V/H
496,81818,T005/lfrassin,52.791900634799994,53.8712997437,0.39736539130000004,0.015200956699999999,6.003529071799999,0.0746928826,3.8071811199,0.1531502903,0.5487870574,0.0209934954,6.1128110886,0.0760525167,6.3193664551,0.2542071939,0.0432911403,0.007106958000000001,0.0385580845,0.0052069849,0.036022272,0.006229829,2.3728544712,0.3895433843,2.1166374683,0.2858362794,2.6787905693000003,0.6388763189,3.6495232582,0.6501234770000001,3.5039772987,0.6388763189,1.0033318996,0.0009690667999999999,0.9866496325,0.0016100493,0.9859817028,0.0019704578,3.8285522461,0.0036981346000000003,3.8194041251999997,0.006218931600000001,3.8190381526999997,0.0076372051,3.8267226219,0.0,0.006852381899999999,0.0021569142000000003,0.18703216309999998,0.0171390772,0.1722754091,0.0564781129,0.114763625,0.0046165604,1.9099448919,0.1698899716,3.53435e-05,6.76e-07,-1.0,-1.0,1.4418206215,0.024589370899999997,1.2897629738,0.0306744259,1.9728348255,0.0045374357,1.9984844922999998,0.00020556189999999997,2.8840026855,0.0017310638,0.9383269548000001,0.0026722817999999997,0.2781273723,0.0024601723999999998,1.9961363077,1.1509999999999999e-07,9.938925743099999,0.08867254109999999,0.0,0.0,10.5186424255,0.22452044489999998,76.8101196289,0.2918653488,3.2502479553,0.015494260900000001,1.8884949684,0.0158364847,0.0038636923,1.1509999999999999e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24377110600000002,0.00032747529999999997,0.0,0.0,1.6447232962,0.0155090252,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9706514478,0.34352061149999996,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,V/H
498,81819,T005/lfrassin,53.495300293,55.663398742700004,0.3700663149,0.0101732519,5.8745932579,0.0641816705,3.4608645438999996,0.1023785099,0.5105612278,0.0140355062,6.0126390457,0.0656898618,5.8255639076,0.17233051359999998,0.0485558584,0.0051884358,0.04289960860000001,0.0042623742,0.0398202464,0.0047480366,2.619893074,0.2799486518,2.3177199364,0.23028157649999997,2.3737049103,0.436254859,3.1376645565,0.6457805634,3.4472329617,0.436254859,1.0033853054000001,0.0009151162,0.9864481090999999,0.0012339382,0.9850916265999999,0.0016101338,3.8276481627999996,0.0034896871,3.8185071945,0.0047644032000000005,3.8174104691000004,0.006241105,3.8258202076,0.0,0.009794107600000001,0.0020693878,0.2086413205,0.0135459425,0.1955339611,0.043220642999999996,0.10317171369999999,0.0030520023,2.1549730301,0.1420256495,3.42558e-05,4.709e-07,-1.0,-1.0,1.3718360662,0.030832029900000002,1.2018641233,0.0340072624,1.9695107937,0.0069548101,1.9989737271999999,0.0003872145,2.8877937794,0.0025837934,0.9337981939,0.0034072408,0.2766304314,0.0045689563,1.9975084066,6.34916e-05,9.572055816699999,0.4302830696,0.0,0.0,10.1948986053,0.2147205919,76.5700378418,0.3722127676,3.2333717346,0.0176755525,1.8306992054,0.030697098,0.0024915934,6.34916e-05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24220220739999998,0.0006492578,0.0,0.0,1.5884975195,0.0300478619,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.7991591692,0.241095975,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,V/H
